query,business_name,review_rating,review_text,review_photos,review_tags,datetime_utc,timestamp,review_id,author_title,author_friend_count,author_photo_count,author_reviews_count,author_location,author_image,author_id,author_url,owner_reply,owner_reply_title,owner_reply_datetime_utc,owner_reply_timestamp,next_page_cursor,page_name,Bank Name
https://www.yelp.com/biz/bankwell-in-fairfield-fairfield-2?osq=Bankwell Bank,Bankwell in Fairfield,5.0,Awesome staff very helpful. Took care of all my needs. Explained everything very thoroughly and would recommend very highly,[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",07/05/2019 20:26:42,1562358402.0,RSrq7tW9eTZCUkzJU7YbYw,Joel Z.,24.0,2.0,6.0,"San Francisco, CA",,UGVZ-BRTY-0BHVdyUWDhDA,https://www.yelp.com/user_details?userid=UGVZ-BRTY-0BHVdyUWDhDA,,,,,,bankwell-in-fairfield-fairfield-2_0.csv,Bankwell Bank
https://www.yelp.com/biz/northwest-community-bank-new-hartford?osq=Northwest Community Bank,,,,,,,,__NO_REVIEWS_FOUND__,,,,,,,,,,,,,,northwest-community-bank-new-hartford_4.csv,Northwest Community Bank
https://www.yelp.com/biz/union-savings-bank-new-fairfield?osq=Union Savings Bank,Union Savings Bank,1.0,answer your phone and be accurate when you say your approve thousand dollar transactions!  get a grip or tell your employees they need better training! :/ best of luck you really seem to need the help if it's this hard for you,[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",01/17/2023 19:02:40,1673982160.0,7wOxs2rMcvSJ4xFsHIbW2w,Grace H.,0.0,0.0,1.0,"New Fairfield, CT",,qo59Q_hf07sKFrbMhTIM8w,https://www.yelp.com/user_details?userid=qo59Q_hf07sKFrbMhTIM8w,,,,,,union-savings-bank-new-fairfield_14.csv,Union Savings Bank
https://www.yelp.com/biz/torrington-savings-bank-torrington-2?osq=Torrington Savings Bank,,,,,,,,__NO_REVIEWS_FOUND__,,,,,,,,,,,,,,torrington-savings-bank-torrington-2_5.csv,Torrington Savings Bank
https://www.yelp.com/biz/the-milford-bank-milford-2?osq=Milford Bank,The Milford Bank,5.0,Great service. Need something ask for Linda old school personal banking at its very best. Full service rarely a wait,[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",06/06/2016 16:34:07,1465230847.0,kzX-mrLnzjZwuvYSyNAnTQ,Deane M.,94.0,252.0,315.0,"Naugatuck, CT",https://s3-media0.fl.yelpcdn.com/photo/6ITuyT-v81kd2LRoCnigkg/180s.jpg,m18hX8g809oe2O5piXNYmQ,https://www.yelp.com/user_details?userid=m18hX8g809oe2O5piXNYmQ,,,,,,the-milford-bank-milford-2_3.csv,Chelsea Gronto Bank
https://www.yelp.com/biz/newtown-savings-bank-bethel-3?osq=Newtown Savings Bank,Newtown Savings Bank,1.0,Worst customer service. The agent I was assigned to help with our mortgage was very unprofessional. I called him on July 4th for making an offer on a house. I had to called him two more times that day and every time he answered in a rude way since he had a family gathering. With last call he yell d at me that I am using him and wasting his time and that he doesn't want to hear from me again. Family gathering and holidays are important but if someone takes a job that involves answering to customers on a holiday they should expect that. I was never treated that badly as a customer in any other bank.,[],"{'helpful': 1, 'thanks': 0, 'love_this': 1, 'oh_no': 0}",07/10/2021 01:44:29,1625881469.0,iMSm-u-xOQDlg2vCeZ6f4A,Payam M.,0.0,0.0,1.0,"Memphis, TN",,E6DLMMBzI06dkZXtvjRFmw,https://www.yelp.com/user_details?userid=E6DLMMBzI06dkZXtvjRFmw,,,,,,newtown-savings-bank-bethel-3_7.csv,Newtown Savings Bank
https://www.yelp.com/biz/newtown-savings-bank-bethel-3?osq=Newtown Savings Bank,Newtown Savings Bank,1.0,"NEVER get your mortgage from these people.  The most unprofessional group of workers I've ever encountered.  STAY far away, I am in the middle of refinancing just so I can get away from these people.   Steve the loan officer is just the most rude condescending humans I've ever encountered.  their system is SO OUT OF DATE its unreal.",[],"{'helpful': 1, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",08/18/2021 16:17:14,1629303434.0,IBqmCy-ed9W-IZFljz_UEQ,Jesse H.,0.0,0.0,57.0,"Danbury, CT",,gozU9btLk92TyRPlC9jqiA,https://www.yelp.com/user_details?userid=gozU9btLk92TyRPlC9jqiA,,,,,,newtown-savings-bank-bethel-3_7.csv,Newtown Savings Bank
https://www.yelp.com/biz/newtown-savings-bank-bethel-3?osq=Newtown Savings Bank,Newtown Savings Bank,1.0,"I've moved most of my accounts out already ever since they changed from a savings and loan to investment citing they were going broke and the first thing they do is building another branch in town.  This bank no longer reviews its client base.  I requested an increase to pay a bill.  I have more than enough in my business account to cover nor had I bounced a check written from my account.  But, because a customer bounced a check causing my deposit to bounce 2x, the bank refused.  So, this bank is unfriendly towards small businesses as most investment banks are.  It's all about their bottom line and to hell with how long you have done business with them and how well your credit is. I recommend you find another savings and loan or credit union bank as I am doing.",[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",11/09/2020 19:52:46,1604951566.0,KXSYi_Um83vrxk-GrFt8xQ,Just Another M.,0.0,0.0,4.0,"Trumbull, CT",,mKUBFCOuaLb7wNwV_Hj5cQ,https://www.yelp.com/user_details?userid=mKUBFCOuaLb7wNwV_Hj5cQ,,,,,,newtown-savings-bank-bethel-3_7.csv,Newtown Savings Bank
https://www.yelp.com/biz/newtown-savings-bank-bethel-3?osq=Newtown Savings Bank,Newtown Savings Bank,3.0,"Everyone there is very nice and very helpful. But as far as internet bank and the phone apps, they are atleast 10 years behind everyone else. No other bank (including local banks) take 2-3 days and hours of work just to set up external bank to bank transfer, as well as no other bank offers mobile deposits but require you to get approval to do mobile deposits. These issues is what banks were doing in the beginning, now with all the stream line digital products there should be no reason for such delays.",[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",10/31/2014 15:49:26,1414770566.0,83-q0BFEnMVsgrU9X9o2IQ,Chris G.,23.0,12.0,43.0,"New Milford, CT",https://s3-media0.fl.yelpcdn.com/photo/2qgIPxYZu7MkAUYwHNFjrg/180s.jpg,wZTqiyEGskseH2ixnUUt7g,https://www.yelp.com/user_details?userid=wZTqiyEGskseH2ixnUUt7g,,,,,,newtown-savings-bank-bethel-3_7.csv,Newtown Savings Bank
https://www.yelp.com/biz/newtown-savings-bank-bethel-3?osq=Newtown Savings Bank,Newtown Savings Bank,4.0,"Good friendly service.  It's nice to use a bank that is local and where you are more than just a number.  We've used Newtown Savings Bank for our savings account,  checking account and mortgage.  Think global.   Act local.",[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",07/13/2014 03:53:06,1405223586.0,ox5a4qKzDpZFHkai9tnWeQ,Chesky B.,0.0,0.0,13.0,"Bethel, CT",,Qcp0AGjHZhUWbSCDJu6AKg,https://www.yelp.com/user_details?userid=Qcp0AGjHZhUWbSCDJu6AKg,,,,,,newtown-savings-bank-bethel-3_7.csv,Newtown Savings Bank
https://www.yelp.com/biz/thomaston-savings-bank-thomaston-5?osq=Thomaston Savings Bank,Thomaston Savings Bank,1.0,"One of the most dysfunctional organizations I have ever had to deal with. I call because I have an issue with my account and I can't hear the CSR because if the laughing and giggling there, sound like they are in a bar during happy hour.  The only reason I deal with them is because it's the closest bank to me but now time to change. 

My advise is to don't get involved with this bank!",[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",01/14/2020 13:43:24,1579009404.0,T2RLQpyB0E1c5dPnnhZ1Fg,J M.,0.0,9.0,38.0,"Decatur, TN",https://s3-media0.fl.yelpcdn.com/photo/xg6fa41B0aOTTHSCVbkptg/180s.jpg,D2hy-m3BO80oMagw-MfnNg,https://www.yelp.com/user_details?userid=D2hy-m3BO80oMagw-MfnNg,,,,,,thomaston-savings-bank-thomaston-5_5.csv,Thomaston Savings Bank
https://www.yelp.com/biz/thomaston-savings-bank-thomaston-5?osq=Thomaston Savings Bank,Thomaston Savings Bank,1.0,Having a problem with this bank on automatic renewal of a CD for my 88 year old mother in assisted living.    I am giving them a week to try and work it out.   Stay tuned.,[],"{'helpful': 1, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",09/01/2018 19:19:03,1535829543.0,rRWQ2_acg-b4j6wDSP1-EA,Gary K.,0.0,0.0,8.0,"Torrington, CT",https://s3-media0.fl.yelpcdn.com/photo/DvZHC3ylEUH26g0-OIxK4Q/180s.jpg,4vlmn0_-Er6uqSNy14KQsA,https://www.yelp.com/user_details?userid=4vlmn0_-Er6uqSNy14KQsA,,,,,,thomaston-savings-bank-thomaston-5_5.csv,Thomaston Savings Bank
https://www.yelp.com/biz/thomaston-savings-bank-thomaston-5?osq=Thomaston Savings Bank,Thomaston Savings Bank,5.0,"This bank is the best bank I've ever experienced the pleasure of doing business with.  They are professional, yet friendly and always very efficient.  Thank you for being ""My Bank"".",[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",05/31/2020 22:10:40,1590963040.0,876wh2fHq6PdzikC4ojI0w,Tracy K.,0.0,0.0,2.0,"San Francisco, CA",,3A8etg_FjVJjNNXwDvs_eQ,https://www.yelp.com/user_details?userid=3A8etg_FjVJjNNXwDvs_eQ,,,,,,thomaston-savings-bank-thomaston-5_5.csv,Thomaston Savings Bank
https://www.yelp.com/biz/jewett-city-savings-bank-preston?osq=Jewett City Savings Bank,,,,,,,,__NO_REVIEWS_FOUND__,,,,,,,,,,,,,,jewett-city-savings-bank-preston_1.csv,Jewett City Savings Bank
https://www.yelp.com/biz/thomaston-savings-bank-waterbury?osq=Thomaston Savings Bank,,,,,,,,__NO_REVIEWS_FOUND__,,,,,,,,,,,,,,thomaston-savings-bank-waterbury_9.csv,Thomaston Savings Bank
https://www.yelp.com/biz/liberty-bank-avon?osq=Liberty Bank,Liberty Bank,5.0,I had a wonderful experience opening an account at Simsbury Bank. The staff was knowledgeable and made the process quick and easy to understand. I'm glad I decided to bank locally.,[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",09/13/2015 12:16:04,1442146564.0,Vevm9fgU8sLG_SuYfrm_dw,Joanna B.,0.0,0.0,4.0,"Lisbon, NH",https://s3-media0.fl.yelpcdn.com/photo/lcvIixvQZ8t1V9mygGEaJA/180s.jpg,qwI9SjDic8uvrqv3DEifmg,https://www.yelp.com/user_details?userid=qwI9SjDic8uvrqv3DEifmg,,,,,,liberty-bank-avon_6.csv,Liberty Bank
https://www.yelp.com/biz/the-milford-bank-stratford?osq=Milford Bank,,,,,,,,__NO_REVIEWS_FOUND__,,,,,,,,,,,,,,the-milford-bank-stratford_2.csv,Chelsea Gronto Bank
https://www.yelp.com/biz/chelsea-groton-bank-groton?osq=Chelsea Groton Bank,Chelsea Groton Bank,1.0,"I have been going to the bank on Rte1 in Stonington for 20 years cashing my paycheck, today I go there and you cant talk to real people. I had to talk to someone who speaks so low you can't even hear them. Then to cash a check you have to put it in the machine and let then look at it first (it's their check) but when you ask a question about it the rep (Rafey) talks so low you can't hear him. I don't feel comfortable dealing with someone you can't hear.
Is Chelsea Groton Bank really eliminating talking to tellers face to face? If so don't put a machine next to a busy road so the cars driving by are louder than the rep with an attitude. When I called the main number to ask where there is an actual bank with people the little girl Kaylee (voice sounded like a little girl trying to act cutesy) said water street in mystic. I'm not going to downtown Mystic full of tourists this time of year to cash a check.
Guess I never use that bank again. Just another bank cutting cost's and customer service at the same time.",[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",04/14/2023 15:51:17,1681487477.0,pWOP6bvZJ33A3yMfREDw1Q,Concerned C.,0.0,3.0,8.0,"Charlestown, RI",,zbineGFaTeVIiLuFvxKcWw,https://www.yelp.com/user_details?userid=zbineGFaTeVIiLuFvxKcWw,"Thank you for your feedback.  Our Mystic Auto branch is equipped with “live tellers” onsite; they can be found on the inside lane closest to the building.  The two outside lanes are drive up VBMs (Virtual banking ATMs) which provide our customers with the ability to bank 24/7, customers can also speak with a banker through video technology up to 7 pm at night which is very convenient.

We will reach out to our digital banking team to see if there’s a way to turn up the volume so that our customers can hear the conversation better. 

We're sorry that your experience using our drive-up virtual banking ATMs was not to your satisfaction, we take all feedback seriously and use it as an opportunity to improve.",Chelsea Groton Bank,04/14/2023 16:59:16,1681491556.0,,chelsea-groton-bank-groton_4.csv,Chelsea Gronto Bank
https://www.yelp.com/biz/chelsea-groton-bank-groton?osq=Chelsea Groton Bank,Chelsea Groton Bank,1.0,"Has to be one of the worst banks in the area, made a photo deposit in the bank at 250 pm on a Thursday now I I have till 4 pm for the banking day to end of course the deposit was rejected but did not receive email till 430 pm after banking hours so ok I resubmit the deposit again but now it's a Friday at 930 am when it was approved Now I have to wait from Thursday and Friday and Saturday and Sunday and Monday and Tuesday before the funds are available my issue is if a place like Walmart can cash a check immediately and withdraw funds why can't this bank do so, I been a customer for at least 3 years it's not like it's a new account this bank has treated me unfair for years I would close my account but am disabled and it's close to my house, so the bottom line want a better bank go somewhere else one thing the employee like the tellers are nice it's not there fault it's the banks main office that are incompetent and nasty",[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",03/18/2023 19:58:10,1679169490.0,U0Udl4TtCfXorT1gHomSdA,Howard B.,0.0,2.0,3.0,"SoMa, San Francisco, CA",,zyEQeKOBNyugZyTyn4C0Vg,https://www.yelp.com/user_details?userid=zyEQeKOBNyugZyTyn4C0Vg,"Hi Howard, customer service is very important to us, so we’re sorry you had a bad experience. Your feedback helps us get better.  Please reach out to Bill Mundell, FVP, Digital Services Manager at 860.448.4214 so we can learn more about the situation.",Chelsea Groton Bank,03/21/2023 14:07:01,1679407621.0,,chelsea-groton-bank-groton_4.csv,Chelsea Gronto Bank
https://www.yelp.com/biz/chelsea-groton-bank-groton?osq=Chelsea Groton Bank,Chelsea Groton Bank,1.0,"I've been banking with Chelsea Groton for over 10 years now and today I had the worst customer experience ever. I have had mr overdraft protection since I opened my checking account. There have been times where I needed it since I live on my own, pay Bill's, eat, put oil in the tank to stay warm, gas in my car so I can get to my job, and I was upset and shocked with what just happened. I never recieved a letter from them, even though I was told that they did send a letter that my overdraft privileges were going to be taken away.  I've been with this bank for over 10 years and my family has been banking with them for over 20 years. 
I called them today because I couldn't use my card for medicine. When I called them I was told that the person in charge would have to call me back because they were on the phone. When they called me back I was told that my account was in the negative for 30 days which is impossible because I get paid every two weeks. I was also told that I went over my overdraft last week in which I put in a stop payment which never happened. My account has been in the positive for the last two weeks. I was then told that I can put a request in to get my overdraft privileges back but that is no guarantee, its reviewed. I was disappointed that after 10 years or so of being a checking account holder I was treated like this. I have always pit money back into my checking account, and never has it been an issue until now.",[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",04/15/2019 15:36:50,1555342610.0,gfKgVnhkHpI7ObIJG9YB0Q,Nick V.,145.0,0.0,1.0,"Gales Ferry, Ledyard, CT",https://s3-media0.fl.yelpcdn.com/photo/Uo_cx-HEaox0SpjSk9AblQ/180s.jpg,rGoH5_azN_kZP0FTeUtDZg,https://www.yelp.com/user_details?userid=rGoH5_azN_kZP0FTeUtDZg,,,,,,chelsea-groton-bank-groton_4.csv,Chelsea Gronto Bank
https://www.yelp.com/biz/chelsea-groton-bank-groton?osq=Chelsea Groton Bank,Chelsea Groton Bank,4.0,"Once upon a time, there was plenty of money to go around.  Banks were giving loans left and right, along with toasters in many cases, and it seems that the only requirement to get a huge mortgage was that you have a pulse.  Even that was waived in some cases.

Unless, you actually had a job and needed to finish building a house.  In that case, no-one would consider lending you the money.  Ours was not a big extravagant house, it was modest, but we needed some more things, like drywall, plumbing fixtures, etc.

After calling just about every bank we could think off, we finally hit upon the bright idea of calling our local bank, and who would have thought?  They gave us the loan, along with decent customer service, convenient hours and several branches.

The loan is now paid and the house is still there.

The free money party, however, is now over.

Moral of the story:  try your local bank first.",['https://s3-media0.fl.yelpcdn.com/bphoto/bdN5bdq0hSvAXQe4PUp0eQ/348s.jpg'],"{'helpful': 3, 'thanks': 0, 'love_this': 1, 'oh_no': 0}",06/11/2010 04:09:02,1276229342.0,-iqzbaZV4VfdZl4EWbj2Mg,Romulo R.,146.0,520.0,415.0,"Boston, MA",https://s3-media0.fl.yelpcdn.com/photo/cQ_6n52B23lJ_9nSpk1_EA/180s.jpg,DWHDoQ3yWpC71kuDFnsO7Q,https://www.yelp.com/user_details?userid=DWHDoQ3yWpC71kuDFnsO7Q,,,,,,chelsea-groton-bank-groton_4.csv,Chelsea Gronto Bank
https://www.yelp.com/biz/chelsea-groton-bank-groton?osq=Chelsea Groton Bank,Chelsea Groton Bank,1.0,"Worse customer service stay away, had issue with checking account with overdraft the woman who called me was a low level employee telling me my overdraft protection was suspended the woman was nasty and didn't care of my issue, as you know there is a covid 19 issue going on and the norm is out of wack but there don't care, find a better bank",[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",06/03/2020 08:11:19,1591171879.0,xSccVlhCW1n34ePu_8u37g,Howard B.,0.0,0.0,6.0,"Ledyard, CT",,OiNtVWRUF41wisTnRmllFw,https://www.yelp.com/user_details?userid=OiNtVWRUF41wisTnRmllFw,,,,,,chelsea-groton-bank-groton_4.csv,Chelsea Gronto Bank
https://www.yelp.com/biz/chelsea-groton-bank-groton?osq=Chelsea Groton Bank,Chelsea Groton Bank,2.0,"I wish I could say it's a great local bank. I wish I could say it's better than other options.

But that would all be a lie. There's far better banks and credit unions that are local. There's also a great many more that actually, oh I don't know, offer competent customer service when you call instead of getting shuffled around department to department without a decent resolution. 

Ah well.",[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",10/30/2014 23:04:46,1414710286.0,YTxa3yIW2QgdyNSOX1s_tA,John D.,0.0,0.0,5.0,"Groton, CT",https://s3-media0.fl.yelpcdn.com/photo/lWeQtqQQZ5mFcWEIH5ZFMA/180s.jpg,117QwTEYGvh_znlyvquBUg,https://www.yelp.com/user_details?userid=117QwTEYGvh_znlyvquBUg,,,,,,chelsea-groton-bank-groton_4.csv,Chelsea Gronto Bank
https://www.yelp.com/biz/newtown-savings-bank-brookfield?osq=Newtown Savings Bank,Newtown Savings Bank,1.0,This bank is trash. No such thing as overdraft protection and they refuse to give back $37 fees. Don't waste your time here you'll lose more money than you put into the bank,[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",11/20/2023 17:06:33,1700499993.0,Me5Tt3dqtCDOinA1M9u3cQ,Giorgia K.,0.0,0.0,3.0,"CT, CT",,UYztWz56EkXijPrqaQqbkA,https://www.yelp.com/user_details?userid=UYztWz56EkXijPrqaQqbkA,,,,,,newtown-savings-bank-brookfield_5.csv,Newtown Savings Bank
https://www.yelp.com/biz/newtown-savings-bank-brookfield?osq=Newtown Savings Bank,Newtown Savings Bank,5.0,"I never knew how much better banking could be by going local. I come in, they know my name and the bank manager, Pete even makes me a coffee once in a while. They've really got their ducks in a row.

It seems like the experience there really matters.

Pete's the best!",[],"{'helpful': 0, 'thanks': 0, 'love_this': 1, 'oh_no': 0}",04/26/2019 23:41:05,1556322065.0,n5dY9DNv8t39vRwkku0-OQ,Will F.,241.0,14.0,87.0,"Danbury, CT",https://s3-media0.fl.yelpcdn.com/photo/SHcXc8flGo9Q5gITMpduXA/180s.jpg,q8KbkFpSwkrmz5f6qpgBJA,https://www.yelp.com/user_details?userid=q8KbkFpSwkrmz5f6qpgBJA,,,,,,newtown-savings-bank-brookfield_5.csv,Newtown Savings Bank
https://www.yelp.com/biz/newtown-savings-bank-brookfield?osq=Newtown Savings Bank,Newtown Savings Bank,5.0,Great bank. Everyone is so friendly. You don't have to wait long. They are always happy to help you with what ever your needs,['https://s3-media0.fl.yelpcdn.com/bphoto/lKQqkhsG-A2Khm8_QhvLrQ/348s.jpg'],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",07/20/2018 21:29:15,1532122155.0,ENBslPub7YiHE4J0yA1miw,Kara Ricardo R.,2.0,8.0,14.0,"Fort Lee, NJ",https://s3-media0.fl.yelpcdn.com/photo/-tQJpwXn0-bk293lDVQIyg/180s.jpg,v2g-fd0xfv4kDsWZdrPrxw,https://www.yelp.com/user_details?userid=v2g-fd0xfv4kDsWZdrPrxw,,,,,,newtown-savings-bank-brookfield_5.csv,Newtown Savings Bank
https://www.yelp.com/biz/ion-bank-middlebury?osq=Ion Bank,,,,,,,,__NO_REVIEWS_FOUND__,,,,,,,,,,,,,,ion-bank-middlebury_7.csv,Ion Bank
https://www.yelp.com/biz/northwest-community-bank-torrington?osq=Northwest Community Bank,,,,,,,,__NO_REVIEWS_FOUND__,,,,,,,,,,,,,,northwest-community-bank-torrington_5.csv,Northwest Community Bank
https://www.yelp.com/biz/torrington-savings-bank-canaan?osq=Torrington Savings Bank,,,,,,,,__NO_REVIEWS_FOUND__,,,,,,,,,,,,,,torrington-savings-bank-canaan_6.csv,Torrington Savings Bank
